T02,"Population, density and surface area",,,,,
480,Mauritius,2022,Population mid-year estimates (millions),1.3,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
196,Cyprus,2022,Population mid-year estimates (millions),1.25,Projected estimate (medium fertility variant).;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
748,Eswatini,2022,Population mid-year estimates (millions),1.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
262,Djibouti,2022,Population mid-year estimates (millions),1.12,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
638,Réunion,2022,Population mid-year estimates (millions),0.97,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
242,Fiji,2022,Population mid-year estimates (millions),0.93,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
174,Comoros,2022,Population mid-year estimates (millions),0.84,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
328,Guyana,2022,Population mid-year estimates (millions),0.81,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
64,Bhutan,2022,Population mid-year estimates (millions),0.78,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
90,Solomon Islands,2022,Population mid-year estimates (millions),0.72,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
446,"China, Macao SAR",2022,Population mid-year estimates (millions),0.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
442,Luxembourg,2022,Population mid-year estimates (millions),0.65,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2022,Population mid-year estimates (millions),0.63,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
740,Suriname,2022,Population mid-year estimates (millions),0.62,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,Cabo Verde,2022,Population mid-year estimates (millions),0.59,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2022,Population mid-year estimates (millions),0.58,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
470,Malta,2022,Population mid-year estimates (millions),0.53,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
462,Maldives,2022,Population mid-year estimates (millions),0.52,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
96,Brunei Darussalam,2022,Population mid-year estimates (millions),0.45,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
44,Bahamas,2022,Population mid-year estimates (millions),0.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
84,Belize,2022,Population mid-year estimates (millions),0.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
312,Guadeloupe,2022,Population mid-year estimates (millions),0.4,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
352,Iceland,2022,Population mid-year estimates (millions),0.37,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
474,Martinique,2022,Population mid-year estimates (millions),0.37,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
175,Mayotte,2022,Population mid-year estimates (millions),0.33,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
548,Vanuatu,2022,Population mid-year estimates (millions),0.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
258,French Polynesia,2022,Population mid-year estimates (millions),0.31,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
254,French Guiana,2022,Population mid-year estimates (millions),0.3,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
540,New Caledonia,2022,Population mid-year estimates (millions),0.29,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
52,Barbados,2022,Population mid-year estimates (millions),0.28,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
678,Sao Tome and Principe,2022,Population mid-year estimates (millions),0.23,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
882,Samoa,2022,Population mid-year estimates (millions),0.22,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
531,Curaçao,2022,Population mid-year estimates (millions),0.19,"Projected estimate (medium fertility variant).;For statistical purposes, the data for Netherlands do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
662,Saint Lucia,2022,Population mid-year estimates (millions),0.18,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
316,Guam,2022,Population mid-year estimates (millions),0.17,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
308,Grenada,2022,Population mid-year estimates (millions),0.13,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
296,Kiribati,2022,Population mid-year estimates (millions),0.13,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
533,Aruba,2022,Population mid-year estimates (millions),0.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2022,Population mid-year estimates (millions),0.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
690,Seychelles,2022,Population mid-year estimates (millions),0.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
776,Tonga,2022,Population mid-year estimates (millions),0.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
670,Saint Vincent & Grenadines,2022,Population mid-year estimates (millions),0.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
850,United States Virgin Islands,2022,Population mid-year estimates (millions),0.1,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
28,Antigua and Barbuda,2022,Population mid-year estimates (millions),0.09,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
20,Andorra,2022,Population mid-year estimates (millions),0.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
833,Isle of Man,2022,Population mid-year estimates (millions),0.08,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
136,Cayman Islands,2022,Population mid-year estimates (millions),0.07,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
212,Dominica,2022,Population mid-year estimates (millions),0.07,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
60,Bermuda,2022,Population mid-year estimates (millions),0.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
304,Greenland,2022,Population mid-year estimates (millions),0.06,"Projected estimate (medium fertility variant).;For statistical purposes, the data for Denmark do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
234,Faroe Islands,2022,Population mid-year estimates (millions),0.05,"Projected estimate (medium fertility variant).;For statistical purposes, the data for Denmark do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
580,Northern Mariana Islands,2022,Population mid-year estimates (millions),0.05,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
659,Saint Kitts and Nevis,2022,Population mid-year estimates (millions),0.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
796,Turks and Caicos Islands,2022,Population mid-year estimates (millions),0.05,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
16,American Samoa,2022,Population mid-year estimates (millions),0.04,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
438,Liechtenstein,2022,Population mid-year estimates (millions),0.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
584,Marshall Islands,2022,Population mid-year estimates (millions),0.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2022,Population mid-year estimates (millions),0.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
534,Sint Maarten (Dutch part),2022,Population mid-year estimates (millions),0.04,"Projected estimate (medium fertility variant).;For statistical purposes, the data for Netherlands do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
535,"Bonaire, St. Eustatius & Saba",2022,Population mid-year estimates (millions),0.03,"For statistical purposes, the data for Netherlands do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
92,British Virgin Islands,2022,Population mid-year estimates (millions),0.03,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
292,Gibraltar,2022,Population mid-year estimates (millions),0.03,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
663,Saint Martin (French part),2022,Population mid-year estimates (millions),0.03,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
674,San Marino,2022,Population mid-year estimates (millions),0.03,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
660,Anguilla,2022,Population mid-year estimates (millions),0.02,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
184,Cook Islands,2022,Population mid-year estimates (millions),0.02,"Projected estimate (medium fertility variant).;For statistical purposes, the data for New Zealand do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
585,Palau,2022,Population mid-year estimates (millions),0.02,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
520,Nauru,2022,Population mid-year estimates (millions),0.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
652,Saint Barthélemy,2022,Population mid-year estimates (millions),0.01,"For statistical purposes, the data for France do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
654,Saint Helena,2022,Population mid-year estimates (millions),0.01,"Projected estimate (medium fertility variant).;Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
666,Saint Pierre and Miquelon,2022,Population mid-year estimates (millions),0.01,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
798,Tuvalu,2022,Population mid-year estimates (millions),0.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2022,Population mid-year estimates (millions),0.01,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
238,Falkland Islands (Malvinas),2022,Population mid-year estimates (millions),0,"Projected estimate (medium fertility variant).;A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas). For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
500,Montserrat,2022,Population mid-year estimates (millions),0,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
570,Niue,2022,Population mid-year estimates (millions),0,"Projected estimate (medium fertility variant).;For statistical purposes, the data for New Zealand do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
772,Tokelau,2022,Population mid-year estimates (millions),0,"Projected estimate (medium fertility variant).;For statistical purposes, the data for New Zealand do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
